"Version (0 = Fixed Task)","Task","Concept","Att 1 - Panel Efficiency","Att 2 - Panel Visibility","Att 3 - Inverter Type","Att 4 - Failure in First Five Years","Att 5 - Environmental Benefits","Att 6 - Savings in 25 Years"
13,15,2,3,1,1,3,1,4
13,15,3,1,2,2,3,3,5
14,1,1,1,1,3,2,2,1
14,1,2,3,1,2,4,2,2
14,1,3,2,2,1,4,3,1
14,2,1,2,1,3,1,3,4
14,2,2,1,2,1,3,1,2
14,2,3,2,2,2,2,1,3
14,3,1,2,1,3,4,1,5
14,3,2,3,2,2,1,1,4
14,3,3,1,1,1,2,3,5
14,4,1,1,1,1,4,3,4
14,4,2,3,2,3,1,3,2
14,4,3,3,2,2,3,2,2
14,5,1,2,2,2,3,1,4
14,5,2,1,1,1,3,2,5
14,5,3,2,2,3,2,3,3
14,6,1,2,1,3,2,1,3
14,6,2,1,1,2,3,2,3
14,6,3,3,1,1,4,2,5
14,7,1,3,1,2,1,3,1
14,7,2,1,1,3,2,2,1
14,7,3,3,2,1,4,1,1
14,8,1,1,2,3,4,3,2
14,8,2,2,1,2,3,1,2
14,8,3,3,2,1,1,2,3
14,9,1,2,2,1,4,1,4
14,9,2,3,2,2,1,3,2
14,9,3,1,1,3,2,2,4
14,10,1,1,1,3,3,3,3
14,10,2,2,2,1,4,2,1
14,10,3,2,1,2,1,1,2
14,11,1,1,1,1,1,1,5
14,11,2,3,2,3,2,2,5
14,11,3,1,2,2,2,3,5
14,12,1,3,1,2,3,3,4
14,12,2,2,1,1,2,3,2
14,12,3,3,2,3,3,1,4
14,13,1,3,2,2,2,3,3
14,13,2,1,2,1,4,1,2
14,13,3,2,1,2,4,2,1
14,14,1,3,1,1,1,1,1
14,14,2,1,1,3,1,2,1
14,14,3,2,2,2,3,2,3
14,15,1,2,2,1,4,1,4
14,15,2,1,1,3,2,1,3
14,15,3,3,2,3,1,3,5
15,1,1,3,1,2,2,3,4
15,1,2,1,2,1,4,2,4
15,1,3,2,1,3,1,2,5
15,2,1,3,2,2,4,3,3
15,2,2,2,1,1,3,3,1
15,2,3,1,2,2,2,1,2
15,3,1,2,1,3,1,2,4
15,3,2,1,2,1,2,2,5
15,3,3,3,1,3,3,3,5
15,4,1,2,2,2,3,2,5
15,4,2,3,2,3,4,1,3
15,4,3,1,1,1,3,1,5
15,5,1,3,2,3,2,3,1
15,5,2,2,1,1,4,1,3
15,5,3,1,1,2,1,2,2
15,6,1,3,2,2,1,2,3
15,6,2,2,1,1,4,3,1
15,6,3,1,2,3,1,1,2
15,7,1,1,1,1,2,1,3
15,7,2,2,2,3,3,3,2
15,7,3,3,1,2,3,2,4
15,8,1,3,1,1,2,1,2
15,8,2,2,2,3,4,2,1
15,8,3,1,2,2,1,3,2
15,9,1,3,2,2,2,1,4
15,9,2,2,1,3,3,1,4
15,9,3,1,2,1,4,3,5
15,10,1,1,1,1,4,2,2
15,10,2,3,1,1,1,3,1
15,10,3,2,2,2,1,3,1
15,11,1,3,1,3,3,2,2
15,11,2,2,2,2,2,1,3
15,11,3,1,1,3,3,2,1
15,12,1,3,2,3,1,1,5
15,12,2,2,2,2,4,2,4
15,12,3,1,1,1,3,3,3
15,13,1,3,2,1,2,2,1
15,13,2,1,1,2,4,1,3
15,13,3,2,1,3,3,3,2
15,14,1,3,2,1,1,3,5
15,14,2,1,1,2,4,2,5
15,14,3,2,2,1,2,1,5
15,15,1,1,1,2,1,1,2
15,15,2,1,2,3,3,3,1
15,15,3,3,2,3,1,2,3
16,1,1,2,1,3,4,2,4
16,1,2,1,2,1,2,2,4
16,1,3,3,1,2,2,3,3
16,2,1,1,2,3,3,1,4
16,2,2,2,1,1,1,2,5
16,2,3,2,2,2,4,3,3
16,3,1,2,1,2,2,1,4
16,3,2,3,2,3,4,1,5
16,3,3,3,1,3,3,3,5
16,4,1,1,1,3,4,3,2
16,4,2,3,2,2,2,2,2
16,4,3,2,1,1,3,2,1
16,5,1,2,2,1,1,1,1
16,5,2,3,1,3,4,1,3
16,5,3,1,2,2,3,1,2
16,6,1,2,1,3,4,1,2
16,6,2,3,1,1,2,2,1
16,6,3,1,2,2,2,3,1
16,7,1,3,1,2,3,3,2
16,7,2,2,2,1,1,2,4
16,7,3,2,1,1,1,3,4
16,8,1,3,1,3,1,1,1
16,8,2,1,2,3,2,3,1
16,8,3,1,2,1,3,2,3
16,9,1,1,1,2,4,1,5
16,9,2,2,2,1,1,3,5
16,9,3,3,2,1,3,2,4
16,10,1,1,1,3,1,3,3
16,10,2,2,2,3,2,3,4
16,10,3,2,2,2,4,1,5
16,11,1,3,1,2,4,2,2
16,11,2,3,2,1,2,2,1
16,11,3,1,2,3,1,2,3
16,12,1,2,1,2,2,3,2
16,12,2,3,1,2,3,1,1
16,12,3,1,1,1,4,1,3
16,13,1,1,2,2,3,1,5
16,13,2,3,2,1,1,2,5
16,13,3,3,1,3,2,3,4
16,14,1,1,1,2,1,3,4
16,14,2,2,2,1,4,1,3
16,14,3,2,2,3,3,2,4
16,15,1,3,1,2,4,2,1
16,15,2,2,2,3,3,1,2
16,15,3,2,1,3,2,3,3
17,1,1,1,2,3,4,2,4
17,1,2,3,2,1,3,1,2
17,1,3,1,1,2,1,1,4
17,2,1,1,1,2,2,2,5
17,2,2,2,2,1,3,3,4
17,2,3,3,1,3,2,1,5
17,3,1,1,2,2,1,3,1
17,3,2,2,1,1,4,3,1
17,3,3,3,1,3,4,2,2
17,4,1,2,1,2,3,1,5
17,4,2,3,2,3,4,2,3
17,4,3,1,2,1,2,3,5
17,5,1,1,1,1,3,1,4
17,5,2,2,1,1,3,2,3
17,5,3,3,2,2,4,3,2
17,6,1,2,2,1,2,3,1
17,6,2,3,2,2,1,1,1
17,6,3,1,1,3,2,2,2
17,7,1,2,2,3,2,3,3
17,7,2,2,1,2,1,1,5
17,7,3,1,1,1,1,1,3
17,8,1,3,2,1,3,2,5
17,8,2,1,2,2,4,2,4
